part,snr,resp,corr,trial,con,vowel,ans
10284793,clean,same,1,HA-HA.mp3,h-h,a,same
10284793,clean,same,1,HA-HA.mp3,h-h,a,same
10284793,clean,same,1,HA-HA.mp3,h-h,a,same
10284793,clean,same,1,HA-HA.mp3,h-h,a,same
10284793,clean,diff,1,HA-KA.mp3,k-h,a,diff
10284793,clean,diff,1,HA-PA.mp3,p-h,a,diff
10284793,clean,diff,1,HA-TA.mp3,t-h,a,diff
10284793,clean,diff,1,HA-THA.mp3,th-h,a,diff
10284793,clean,same,1,HI-HI.mp3,h-h,i,same
10284793,clean,same,1,HI-HI.mp3,h-h,i,same
10284793,clean,same,1,HI-HI.mp3,h-h,i,same
10284793,clean,same,1,HI-HI.mp3,h-h,i,same
10284793,clean,diff,1,HI-KI.mp3,k-h,i,diff
10284793,clean,diff,1,HI-PI.mp3,p-h,i,diff
10284793,clean,diff,1,HI-THI.mp3,th-h,i,diff
10284793,clean,diff,1,HI-TI.mp3,t-h,i,diff
10284793,clean,same,1,HU-HU.mp3,h-h,u,same
10284793,clean,same,1,HU-HU.mp3,h-h,u,same
10284793,clean,same,1,HU-HU.mp3,h-h,u,same
10284793,clean,same,1,HU-HU.mp3,h-h,u,same
10284793,clean,diff,1,HU-KU.mp3,k-h,u,diff
10284793,clean,diff,1,HU-PU.mp3,p-h,u,diff
10284793,clean,diff,1,HU-THU.mp3,th-h,u,diff
10284793,clean,diff,1,HU-TU.mp3,t-h,u,diff
10284793,clean,diff,1,KA-HA.mp3,k-h,a,diff
10284793,clean,same,1,KA-KA.mp3,k-k,a,same
10284793,clean,same,1,KA-KA.mp3,k-k,a,same
10284793,clean,same,1,KA-KA.mp3,k-k,a,same
10284793,clean,same,1,KA-KA.mp3,k-k,a,same
10284793,clean,diff,1,KA-PA.mp3,p-k,a,diff
10284793,clean,diff,1,KA-TA.mp3,t-k,a,diff
10284793,clean,diff,1,KA-THA.mp3,th-k,a,diff
10284793,clean,diff,1,KI-HI.mp3,k-h,i,diff
10284793,clean,same,1,KI-KI.mp3,k-k,i,same
10284793,clean,same,1,KI-KI.mp3,k-k,i,same
10284793,clean,same,1,KI-KI.mp3,k-k,i,same
10284793,clean,same,1,KI-KI.mp3,k-k,i,same
10284793,clean,diff,1,KI-PI.mp3,p-k,i,diff
10284793,clean,diff,1,KI-THI.mp3,th-k,i,diff
10284793,clean,diff,1,KI-TI.mp3,t-k,i,diff
10284793,clean,diff,1,KU-HU.mp3,k-h,u,diff
10284793,clean,same,1,KU-KU.mp3,k-k,u,same
10284793,clean,diff,0,KU-KU.mp3,k-k,u,same
10284793,clean,diff,0,KU-KU.mp3,k-k,u,same
10284793,clean,diff,0,KU-KU.mp3,k-k,u,same
10284793,clean,same,0,KU-PU.mp3,p-k,u,diff
10284793,clean,diff,1,KU-THU.mp3,th-k,u,diff
10284793,clean,diff,1,KU-TU.mp3,t-k,u,diff
10284793,clean,diff,1,PA-HA.mp3,p-h,a,diff
10284793,clean,diff,1,PA-KA.mp3,p-k,a,diff
