Participant Private ID,Display,Response,Correct,Spreadsheet: sound,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: noise
10768523,,START SUBSYSTEM base.component.audioSubsystem,0,,,,
10768523,,SUBSYSTEM READY base.component.audioSubsystem,0,,,,
10768523,,BEGIN,0,,,,
10768523,Instructions,,1,,,,
10768523,Instructions,,1,,,,
10768523,Practice,audio started,0,KU_clean.mp3,k,u,clean
10768523,Practice,audio finished,0,KU_clean.mp3,k,u,clean
10768523,Practice,p,0,KU_clean.mp3,k,u,clean
10768523,Practice,audio started,0,HA_clean.mp3,h,a,clean
10768523,Practice,h,1,HA_clean.mp3,h,a,clean
10768523,Practice,audio finished,0,HA_clean.mp3,h,a,clean
10768523,Practice,audio started,0,PI_clean.mp3,p,i,clean
10768523,Practice,audio finished,0,PI_clean.mp3,p,i,clean
10768523,Practice,h,0,PI_clean.mp3,p,i,clean
10768523,Ready?,,1,,,,
10768523,Trials-Clean,audio started,0,KU_clean.mp3,k,u,clean
10768523,Trials-Clean,audio finished,0,KU_clean.mp3,k,u,clean
10768523,Trials-Clean,h,0,KU_clean.mp3,k,u,clean
10768523,Trials-Clean,audio started,0,PA_clean.mp3,p,a,clean
10768523,Trials-Clean,audio finished,0,PA_clean.mp3,p,a,clean
10768523,Trials-Clean,k,0,PA_clean.mp3,p,a,clean
10768523,Trials-Clean,audio started,0,TI_clean.mp3,t,i,clean
10768523,Trials-Clean,audio finished,0,TI_clean.mp3,t,i,clean
10768523,Trials-Clean,th,0,TI_clean.mp3,t,i,clean
10768523,Trials-Clean,audio started,0,HI_clean.mp3,h,i,clean
10768523,Trials-Clean,audio finished,0,HI_clean.mp3,h,i,clean
10768523,Trials-Clean,h,1,HI_clean.mp3,h,i,clean
10768523,Trials-Clean,audio started,0,PI_clean.mp3,p,i,clean
10768523,Trials-Clean,audio finished,0,PI_clean.mp3,p,i,clean
10768523,Trials-Clean,h,0,PI_clean.mp3,p,i,clean
10768523,Trials-Clean,audio started,0,THA_clean.mp3,th,a,clean
10768523,Trials-Clean,audio finished,0,THA_clean.mp3,th,a,clean
10768523,Trials-Clean,th,1,THA_clean.mp3,th,a,clean
10768523,Trials-Clean,audio started,0,KI_clean.mp3,k,i,clean
10768523,Trials-Clean,audio finished,0,KI_clean.mp3,k,i,clean
10768523,Trials-Clean,k,1,KI_clean.mp3,k,i,clean
10768523,Trials-Clean,audio started,0,THI_clean.mp3,th,i,clean
10768523,Trials-Clean,audio finished,0,THI_clean.mp3,th,i,clean
10768523,Trials-Clean,th,1,THI_clean.mp3,th,i,clean
10768523,Trials-Clean,audio started,0,HI_clean.mp3,h,i,clean
10768523,Trials-Clean,audio finished,0,HI_clean.mp3,h,i,clean
10768523,Trials-Clean,h,1,HI_clean.mp3,h,i,clean
10768523,Trials-Clean,audio started,0,THI_clean.mp3,th,i,clean
10768523,Trials-Clean,audio finished,0,THI_clean.mp3,th,i,clean
10768523,Trials-Clean,th,1,THI_clean.mp3,th,i,clean
10768523,Trials-Clean,audio started,0,TI_clean.mp3,t,i,clean
10768523,Trials-Clean,audio finished,0,TI_clean.mp3,t,i,clean
10768523,Trials-Clean,t,1,TI_clean.mp3,t,i,clean
10768523,Trials-Clean,audio started,0,KA_clean.mp3,k,a,clean
10768523,Trials-Clean,audio finished,0,KA_clean.mp3,k,a,clean
10768523,Trials-Clean,k,1,KA_clean.mp3,k,a,clean
10768523,Trials-Clean,audio started,0,THA_clean.mp3,th,a,clean
10768523,Trials-Clean,audio finished,0,THA_clean.mp3,th,a,clean
