part,snr,resp,corr,trial,con,vowel,ans
10284819,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10284819,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10284819,5,diff,0,HA-HA_pos5.mp3,h-h,a,same
10284819,5,same,1,HA-HA_pos5.mp3,h-h,a,same
10284819,5,diff,1,HA-KA_pos5.mp3,k-h,a,diff
10284819,5,same,0,HA-PA_pos5.mp3,p-h,a,diff
10284819,5,diff,1,HA-TA_pos5.mp3,t-h,a,diff
10284819,5,diff,1,HA-THA_pos5.mp3,th-h,a,diff
10284819,5,diff,0,HI-HI_pos5.mp3,h-h,i,same
10284819,5,diff,0,HI-HI_pos5.mp3,h-h,i,same
10284819,5,diff,0,HI-HI_pos5.mp3,h-h,i,same
10284819,5,same,1,HI-HI_pos5.mp3,h-h,i,same
10284819,5,diff,1,HI-KI_pos5.mp3,k-h,i,diff
10284819,5,same,0,HI-PI_pos5.mp3,p-h,i,diff
10284819,5,diff,1,HI-THI_pos5.mp3,th-h,i,diff
10284819,5,diff,1,HI-TI_pos5.mp3,t-h,i,diff
10284819,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10284819,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10284819,5,same,1,HU-HU_pos5.mp3,h-h,u,same
10284819,5,diff,0,HU-HU_pos5.mp3,h-h,u,same
10284819,5,diff,1,HU-KU_pos5.mp3,k-h,u,diff
10284819,5,diff,1,HU-PU_pos5.mp3,p-h,u,diff
10284819,5,diff,1,HU-THU_pos5.mp3,th-h,u,diff
10284819,5,diff,1,HU-TU_pos5.mp3,t-h,u,diff
10284819,5,diff,1,KA-HA_pos5.mp3,k-h,a,diff
10284819,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10284819,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10284819,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10284819,5,same,1,KA-KA_pos5.mp3,k-k,a,same
10284819,5,diff,1,KA-PA_pos5.mp3,p-k,a,diff
10284819,5,diff,1,KA-TA_pos5.mp3,t-k,a,diff
10284819,5,diff,1,KA-THA_pos5.mp3,th-k,a,diff
10284819,5,diff,1,KI-HI_pos5.mp3,k-h,i,diff
10284819,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10284819,5,diff,0,KI-KI_pos5.mp3,k-k,i,same
10284819,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10284819,5,same,1,KI-KI_pos5.mp3,k-k,i,same
10284819,5,diff,1,KI-PI_pos5.mp3,p-k,i,diff
10284819,5,diff,1,KI-THI_pos5.mp3,th-k,i,diff
10284819,5,diff,1,KI-TI_pos5.mp3,t-k,i,diff
10284819,5,same,0,KU-HU_pos5.mp3,k-h,u,diff
10284819,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10284819,5,diff,0,KU-KU_pos5.mp3,k-k,u,same
10284819,5,diff,0,KU-KU_pos5.mp3,k-k,u,same
10284819,5,same,1,KU-KU_pos5.mp3,k-k,u,same
10284819,5,diff,1,KU-PU_pos5.mp3,p-k,u,diff
10284819,5,diff,1,KU-THU_pos5.mp3,th-k,u,diff
10284819,5,diff,1,KU-TU_pos5.mp3,t-k,u,diff
10284819,5,same,0,PA-HA_pos5.mp3,p-h,a,diff
10284819,5,diff,1,PA-KA_pos5.mp3,p-k,a,diff
10284819,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10284819,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10284819,5,same,1,PA-PA_pos5.mp3,p-p,a,same
10284819,5,diff,0,PA-PA_pos5.mp3,p-p,a,same
10284819,5,diff,1,PA-TA_pos5.mp3,p-t,a,diff
10284819,5,diff,1,PA-THA_pos5.mp3,p-th,a,diff
10284819,5,diff,1,PI-HI_pos5.mp3,p-h,i,diff
10284819,5,diff,1,PI-KI_pos5.mp3,p-k,i,diff
10284819,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10284819,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10284819,5,same,1,PI-PI_pos5.mp3,p-p,i,same
10284819,5,diff,0,PI-PI_pos5.mp3,p-p,i,same
10284819,5,diff,1,PI-THI_pos5.mp3,p-th,i,diff
10284819,5,same,0,PI-TI_pos5.mp3,p-t,i,diff
