Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: sent,Spreadsheet: sent_1,Spreadsheet: word_1,Spreadsheet: card_1,Spreadsheet: card_2,Spreadsheet: corr_1,Spreadsheet: cons,Spreadsheet: vowel,Spreadsheet: target,Manipulation: Spreadsheet,Store: response 1,Store: response 2,Store: Score,Store: Total_q,Store: Score_total
1,1.7114E+12,25/03/2024 22:16:39,1.71139E+12,-4,25/03/2024 14:16:39,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,,,,,,5,START SUBSYSTEM base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
2,1.71141E+12,25/03/2024 22:16:46,1.71139E+12,-4,25/03/2024 14:16:46,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,,,,,,5,SUBSYSTEM READY base.component.audioSubsystem,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
3,1.71141E+12,25/03/2024 22:16:46,1.71139E+12,-4,25/03/2024 14:16:46,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
4,1.71141E+12,25/03/2024 22:16:47,1.71139E+12,-4,25/03/2024 14:16:47,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,1,Instructions,Screen 1,9vmjmj,1,continue,,1040.1999999284744,1033.1000000000004,1040.1999999284744,1040.1999999284744,1033.1000000000004,1040.1999999284744,1,1040.1999999284744,0,0,,Click To Continue,Continue Button,2,object-50,Instructions,,,,,,,,,,,,,,,
5,1.71141E+12,25/03/2024 22:16:48,1.71139E+12,-4,25/03/2024 14:16:48,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,1,Trials_blk1,Screen 1,rvjw9l,1,response,peb,934.1999999523159,932.6000000000004,934.1999999523159,934.1999999523159,932.6000000000004,934.1999999523159,0,934.1999999523159,0,0,,Click Response,Card1,7,object-20,Trials_blk1,Todd has a cat named ___,pe_25_sent.mp3,pe_25_word.mp3,peb,pep,pep,p,e,1,,,,0,,
6,1.71141E+12,25/03/2024 22:16:48,1.71139E+12,-4,25/03/2024 14:16:48,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,1,Trials_blk1,Screen 1,rvjw9l,1,continue,,935.7999999761578,932.6000000000004,935.7999999761578,935.7999999761578,932.6000000000004,935.7999999761578,0,935.7999999761578,0,0,,Click To Continue,Card1,7,object-20,Trials_blk1,Todd has a cat named ___,pe_25_sent.mp3,pe_25_word.mp3,peb,pep,pep,p,e,1,,,,0,,
7,1.71141E+12,25/03/2024 22:16:48,1.71139E+12,-4,25/03/2024 14:16:48,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,1,Trials_blk1,Screen 3,2d6z4v,2,info,audio started,6.499999928473699,0,6.499999928473699,6.499999928473699,0,6.499999928473699,1,6.499999928473699,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Todd has a cat named ___,pe_25_sent.mp3,pe_25_word.mp3,peb,pep,pep,p,e,1,,,,0,,
8,1.71141E+12,25/03/2024 22:16:48,1.71139E+12,-4,25/03/2024 14:16:48,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,1,Trials_blk1,Screen 3,2d6z4v,2,info,audio finished,108.09999995231556,100,108.09999995231556,108.09999995231556,100,108.09999995231556,1,108.09999995231556,0,0,,Audio Clip,Audio,2,object-46,Trials_blk1,Todd has a cat named ___,pe_25_sent.mp3,pe_25_word.mp3,peb,pep,pep,p,e,1,,,,0,,
9,1.71141E+12,25/03/2024 22:16:48,1.71139E+12,-4,25/03/2024 14:16:48,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,1,Trials_blk1,Screen 3,2d6z4v,2,continue,,567.6999999999989,567.6999999999989,567.6999999999989,567.6999999999989,567.6999999999989,567.6999999999989,1,567.6999999999989,0,0,,Fixation Timing,Fixation,1,object-45,Trials_blk1,Todd has a cat named ___,pe_25_sent.mp3,pe_25_word.mp3,peb,pep,pep,p,e,1,,,,0,,
10,1.71141E+12,25/03/2024 22:16:49,1.71139E+12,-4,25/03/2024 14:16:49,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,2,Trials_blk1,Screen 1,rvjw9l,1,response,peb,306.60000000000036,300,306.60000000000036,306.60000000000036,300,306.60000000000036,1,306.60000000000036,0,0,,Click Response,Card2,6,object-19,Trials_blk1,Todd has a cat named ___,pe_125_sent.mp3,pe_125_word.mp3,pep,peb,peb,p,e,1,,,,50,,
11,1.71141E+12,25/03/2024 22:16:49,1.71139E+12,-4,25/03/2024 14:16:49,170312,4,task-4ej8,,36441124,,10755999,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1680x1050,1355x758,,,0,Coda prediction task (Single stim),6,Spreadsheet1,2,Trials_blk1,Screen 1,rvjw9l,1,continue,,312.10000000000036,300,312.10000000000036,312.10000000000036,300,312.10000000000036,0,312.10000000000036,0,0,,Click To Continue,Card2,6,object-19,Trials_blk1,Todd has a cat named ___,pe_125_sent.mp3,pe_125_word.mp3,pep,peb,peb,p,e,1,,,,50,,
